year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2010,Chevrolet,Camaro,2LT,Coupe,automatic,2g1fc1ev4a9202643,ca,27,45514,red,black,sun community fcu,15550,15000,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffar8dt633113,fl,41,43007,white,black,remarketing by ge/tmt auto wholesale inc,8400,8200,Fri Feb 13 2015 01:35:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha4cr299854,pa,46,13687,blue,black,ford motor credit company llc,13250,13900,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2008,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bk12f681836055,ca,19,108377,gray,black,redline remarketing,4425,4200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2006,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw21p06ed55695,ca,25,65438,gray,gray,california fleet inc,18600,22750,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2009,Dodge,Charger,Base,Sedan,,2b3ka43d49h501219,tx,1,82882,gray,—,total resource auctions-tulsa,8300,1000,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2011,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wdbsk7ba9bf163276,ca,41,53247,—,black,mercedes-benz financial services,43200,43000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Escape,Titanium,SUV,,1fmcu9j90dua32833,pa,36,19502,red,black,ford motor credit company llc,23300,24900,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6arxdm758010,nj,35,36921,gray,black,nissan infiniti lt,19650,20000,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
1998,Ford,Taurus,SE,sedan,automatic,1fafp52u0wg231411,wa,19,91583,silver,gray,urs energy & construction inc,700,275,Wed Jun 03 2015 07:15:00 GMT-0700 (PDT)
2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek7a1164551,ga,37,111259,white,gray,rick hendrick chevrolet of buford,5950,6500,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
2011,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh0b7262562,fl,46,46905,blue,gray,fiserv/crescent bank & trust,8375,9100,Thu Jan 29 2015 01:35:00 GMT-0800 (PST)
2011,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb9br151093,wi,44,38754,white,black,mercedes-benz financial services,18400,18750,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Coupe,manual,1zvbp8am8e5324647,tn,5,1037,—,gray,g & s auto sales & rentals  llc,18850,18400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2011,Mazda,CX-9,Sport,SUV,automatic,jm3tb2ba6b0317591,fl,35,37216,gray,black,jpmorgan chase bank n.a.,13100,13000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2004,Nissan,Murano,SL,suv,automatic,jn8az08w34w310511,pa,19,132341,silver,black,1 cochran of monroeville,4075,3650,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
2012,Chevrolet,Corvette,GS,Coupe,automatic,1g1yw2dw4c5103336,mo,39,4641,—,tan,plaza motor company,42300,37750,Tue Jan 06 2015 11:00:00 GMT-0800 (PST)
2011,Nissan,Versa,1.8 S,Hatchback,manual,3n1bc1cp4bl383223,ca,28,72043,silver,black,lithia nissan of fresno,6125,7100,Thu Feb 19 2015 05:00:00 GMT-0800 (PST)
2012,,,,,automatic,4a32b2ff0ce016861,tx,35,59781,white,black,dtg operations inc,8275,8900,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2012,Dodge,Caliber,SXT,wagon,automatic,1c3cdwda3cd508665,mi,21,45778,black,black,santander consumer,8500,7200,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc5ds319339,ca,35,59253,burgundy,gray,the hertz corporation,17350,17000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f29dl193931,fl,31,20676,gray,gray,ford motor credit company llc,11650,10800,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2006,,,,,automatic,jm1cr293860120262,tx,27,115620,gray,black,santander consumer,3400,2500,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2010,Chevrolet,Silverado 1500,LT,Crew Cab,,3gcrkse39ag135314,pa,49,94887,silver,black,lance adams auto sales llc,18700,19600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2002,Pontiac,Grand Prix,GT,Sedan,,1g2wp52k02f189108,tn,1,186018,black,—,titlemax of nashville #3,1150,350,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
2006,Ford,F-150,XLT,SuperCab,automatic,1ftpx14536na51168,fl,33,126581,white,gray,remarketing by ge/manheim orlando,8800,9100,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
2007,Chrysler,Sebring,Base,Sedan,automatic,1c3lc46r17n673740,ca,24,79266,white,gray,wheels exchange llc,4350,4000,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2009,Porsche,Cayenne,GTS,suv,,wp1ad29p59la62914,pa,35,73756,black,black,mint motorcars inc,29700,29000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr2dr238288,mn,44,68357,silver,black,ge fleet services for itself/servicer,12000,12600,Thu Feb 12 2015 02:45:00 GMT-0800 (PST)
2009,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh23459a190163,fl,34,70213,silver,black,innovate auto finance,24100,18800,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
2007,Dodge,Charger,Base,Sedan,automatic,2b3ka43r07h851617,md,19,124386,red,black,darcars chrysler jeep,5050,3400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2009,Nissan,Murano,LE,suv,,jn8az18wx9w113137,pa,34,92739,beige,beige,congers auto sales inc,12200,11900,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2011,GMC,Sierra 1500,SLE,Extended Cab,automatic,1gtr2ve34bz247067,oh,44,43801,gray,black,larry hudson chevrolet buick gmc inc,22000,20300,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh023318,fl,43,16921,blue,gray,enterprise veh exchange/rental,15450,18200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap4dc819436,tx,28,52852,silver,black,the hertz corporation,13650,12900,Wed Jun 10 2015 03:05:00 GMT-0700 (PDT)
2004,Cadillac,CTS,Base,Sedan,automatic,1g6dm577740128296,il,,96907,white,—,primo motor cars,4400,5300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a77cg085490,fl,28,75373,silver,gray,capital one auto finance,11950,11500,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ca111364,ms,1,1,white,tan,exeter finance corp,13400,3000,Thu May 21 2015 05:02:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap5dn480558,co,37,18850,white,beige,nissan-infiniti lt,14350,14900,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl5eda22130,wa,46,35315,silver,gray,avis budget group,18150,17900,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb8d7124681,nc,36,56033,silver,black,the hertz corporation,9600,9800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc9dbc37222,il,45,16460,blue,black,ford motor credit company llc,23000,22200,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2014,BMW,Z4,sDrive35i,Convertible,automatic,wbalm7c51ee385836,nj,43,1911,red,black,bmw na manheim new jersey,42500,32000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
2004,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdza23c14s164396,nc,37,150464,silver,gray,town & country ford inc,4000,3900,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
2005,Ford,Five Hundred,SEL,Sedan,automatic,1fafp27105g141669,ga,35,78222,white,beige,automobile acceptance corp,4275,3000,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2010,MINI,Cooper,Base,Hatchback,automatic,wmwmf3c54atz23507,nj,34,41008,white,black,santander consumer,9475,10300,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap0cm701140,ca,27,25447,gray,black,nissan infiniti lt,17350,15750,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2011,GMC,Acadia,Denali,SUV,automatic,1gkkrted0bj264588,ca,44,58615,white,black,skyhigh remarketing inc,23500,23750,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn539286,ca,4,44032,silver,black,avis corporation,12700,13200,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e74ckc64639,il,49,39122,white,beige,ford motor credit company llc,16150,16500,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg9dh593240,fl,43,18044,gray,black,westfall auto sales,16200,15800,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2006,honda,civic,dx-g,,,2hgfa16356h037680,on,,92856,gray,gray,g b services,5400,4000,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2007,Chrysler,300,Base,Sedan,automatic,2c3la43r77h678265,md,23,97594,blue,gray,capital one auto finance,6075,5000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2010,Ford,F-150,XLT,SuperCrew,automatic,1ftew1c89aka16926,fl,28,38860,gray,gray,wells fargo dealer services,20000,18800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2012,Lincoln,MKZ,Base,sedan,automatic,3lnhl2gc0cr805938,mn,38,78322,black,black,ford motor credit company llc,12600,12700,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2008,Chrysler,Town and Country,Touring,minivan,automatic,2a8hr54p18r769954,ma,35,132891,black,gray,premier cape cod,5250,5300,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2008,Buick,LaCrosse,CXL,sedan,automatic,2g4wd582381181818,oh,21,71219,purple,tan,wells fargo dealer services,7150,6500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Escape,Titanium,SUV,automatic,1fmcu0j94dub64408,ca,41,17511,silver,black,ford motor credit company llc pd,21500,22000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2003,Hyundai,Santa Fe,Base,SUV,automatic,km8sb12b53u357934,ma,19,107356,blue,gray,clay chevrolet hyundai,2000,1250,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2005,BMW,6 Series,645Ci,Coupe,automatic,wbaeh73455b869272,ca,28,91233,gray,black,remarketing by ge/manheim california,11250,9000,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb5dg005528,ca,39,15339,—,black,mercedes-benz financial services,24000,22500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2007,Chevrolet,Silverado 1500 Classic,LT3,Crew Cab,automatic,2gcec13zx71165839,mo,4,123454,red,black,midway motor sales company llc,9700,11200,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5eu4cf364343,il,4,56372,silver,gray,the hertz corporation,9950,10400,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
2007,Lincoln,Navigator,Ultimate,suv,,5lmfu28517lj04623,az,28,138190,silver,gray,earnhardt,10450,9500,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
2013,Ford,Taurus,SEL,sedan,automatic,1fahp2h83dg141443,pa,43,55956,white,beige,union leasing exchange llc,14150,14400,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2013,Hyundai,Santa Fe,GLS,SUV,automatic,km8smdhf1du002783,ca,44,17356,silver,gray,hyundai motor finance,21900,24500,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2007,Acura,TSX,Base,Sedan,automatic,jh4cl96847c011290,ca,2,133207,gray,black,the car exchange,6450,5500,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2011,GMC,Sierra 1500,SLE,Extended Cab,automatic,1gtr2ve37bz140465,wa,29,76170,white,black,xcar inc,18550,16500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c56cl664169,ca,46,30551,white,black,financial services remarketing (lease),36200,39000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj5em369419,ga,42,30015,red,black,young motors llc,12500,11900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2001,Toyota,Land Cruiser,Base,SUV,automatic,jteht05j912007235,fl,42,308159,beige,beige,westfall auto sales,7875,7100,Tue Feb 10 2015 08:00:00 GMT-0800 (PST)
2004,Ford,Econoline Cargo,E-250,Van,,1ftne24w64ha64519,nc,21,241845,white,gray,ari,1500,2000,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2014,Infiniti,Q50,Hybrid Premium,Sedan,automatic,jn1av7ar0em702883,tn,45,8255,—,black,nissan north america inc.,36600,34400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2010,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5gb7af370594,fl,34,41661,black,tan,mercedes benz of tampa,20300,22500,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp582171192055,tx,28,127627,white,beige,dt credit corporation,3525,4600,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
2008,Ford,Escape,XLS,SUV,,1fmcu02z88kb09900,ca,29,71664,black,gray,tdaf remarketing,6725,6700,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2012,Audi,Q7,3.0T Premium quattro,SUV,automatic,wa1cgafe5cd003825,fl,43,51983,gray,black,audi pembroke pines,30500,29000,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
2006,Jaguar,XJ-Series,XJ8,sedan,automatic,sajwa71b16sh03558,fl,28,125501,black,tan,lauderdale infiniti,4900,5200,Fri May 29 2015 02:35:00 GMT-0700 (PDT)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx0dub80689,tn,36,21251,red,gray,ford motor credit company llc,15800,15500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e37d1212625,az,31,47206,silver,black,the hertz corporation,11150,10700,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2006,Nissan,Murano,SL,suv,automatic,jn8az08t66w402611,va,21,226663,gold,black,browns fairfax mazda,2050,2400,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,sedan,automatic,jn1by1ar7cm396657,tn,33,16303,—,black,nissan infiniti lt,26400,24800,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg5er256761,mi,4,26623,gold,black,hertz corporation/gdp,18850,18900,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek0ds637179,nc,38,34647,gold,black,enterprise veh exchange/rental,14800,15000,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
2013,Ford,Flex,SEL,Wagon,automatic,2fmgk5c8xdbd29442,il,34,14687,white,black,ford motor credit company llc,23900,22000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl1eda47817,il,34,26949,silver,gray,ford motor credit company,18800,18600,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2001,Ford,Explorer,XLT,suv,automatic,1fmzu73e01za26926,nj,24,162465,green,gray,auto lender liquidation center,1025,275,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2007,GMC,Sierra 1500 Classic,SLE1,Crew Cab,automatic,2gtec13z471149538,tx,4,39325,gold,tan,music city autoplex llc,14050,16100,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,sedan,automatic,3fahp0ha9cr293645,fl,46,34837,black,black,ford motor credit company llc,11300,12400,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2008,Saturn,VUE,XE,SUV,automatic,3gsdl43n78s571016,wi,33,54736,red,beige,new look enterprises inc,6900,8900,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp8ck198065,ca,45,52279,silver,black,santander consumer,8025,8600,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2011,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcrcse02bz267755,ga,42,113383,white,gray,lease plan usa,13600,13900,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb2e7103536,ca,43,33000,black,beige,avis rac/san leandro,13000,13700,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2005,Chrysler,300,Touring,Sedan,automatic,2c3aa53g65h644570,mo,19,81938,silver,gray,tdaf remarketing,7250,5500,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg8dn727408,ga,49,24064,white,tan,mall of ga chrysler dodge jeep,13100,14000,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2008,BMW,5 Series,535xi,Sedan,,wbanv93548cw55613,nj,39,147467,silver,black,bmw of mount laurel,5700,6900,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2010,Hyundai,Sonata,GLS,Sedan,automatic,5npet4ac9ah648258,nc,28,114795,white,beige,honda of concord,5050,4850,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
2011,Chevrolet,Colorado,Work Truck,regular cab,automatic,1gccsbf92b8134084,tx,39,58785,—,gray,lease plan usa,9200,9400,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2008,Ford,Edge,SEL,SUV,automatic,2fmdk38c68ba17113,va,42,111926,white,beige,shirlie slack mitsubishi,7625,8500,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2apxcc192779,mo,41,59023,burgundy,black,santander consumer,10650,11000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2008,BMW,3 Series,335i,Convertible,automatic,wbawl73528px55314,tx,24,138624,black,brown,bmw of el paso,9400,10100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2011,Ford,F-250 Super Duty,King Ranch,crew cab,automatic,1ft7w2bt7beb03065,fl,47,48216,brown,brown,autobuy,39300,43200,Thu May 28 2015 02:10:00 GMT-0700 (PDT)
2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek8bm215569,ca,29,38087,white,black,nissan infiniti lt,19800,21250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f29cl449601,tx,35,26043,black,tan,ford motor credit company llc,10200,9000,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh9c7277272,mi,44,39491,black,gray,gm financial leasing,9250,10200,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb4dn705816,nc,43,45723,blue,black,santander consumer,10600,10300,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCab,automatic,1ftex1em2efb19644,mi,45,15225,black,gray,automobiles paille inc,24300,24700,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e79j028811,sc,25,80789,white,gray,primeritus remarketing/farm bureau,6925,5800,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2014,Kia,Sedona,EX,Minivan,automatic,kndmh4c79e6578970,ca,43,15723,silver,gray,kia motors america  inc,22200,21600,Tue May 19 2015 05:00:00 GMT-0700 (PDT)
2012,Honda,Civic,Hybrid,Sedan,automatic,jhmfb4f24cs005780,ca,43,29020,gray,beige,ahfc/honda lease trust/hvt  inc. eot,13850,14500,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4ae4dh309717,pa,45,19496,burgundy,beige,hyundai motor finance,11500,11700,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2013,Nissan,Xterra,S,suv,automatic,5n1an0nw6dn815519,ca,43,51995,burgundy,gray,dtg operations inc,16050,15000,Tue Jun 30 2015 09:30:00 GMT-0700 (PDT)
2007,,,,,automatic,zamfe39a670032269,ca,34,59194,white,black,south bay bmw,25600,26250,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i xDrive,Sedan,automatic,wbaxh5c51cdw08051,oh,41,18593,gray,black,financial services remarketing (lease),30200,28500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2011,Ram,1500,Sport,Crew Cab,automatic,1d7rb1ct9bs572405,ca,49,45107,silver,gray,north bakersfield toyota scion,19400,20500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,SUV,,2fmdk4jc4dbb40600,pa,45,20983,white,gray,ford motor credit company llc,24700,24900,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2011,Nissan,Juke,SV,hatchback,,jn8af5mr6bt023801,fl,24,32504,white,black,remarketing of america,12650,10200,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2014,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd5eu261811,ga,42,23514,gray,blue,hyundai motor america,20700,20800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2012,Hyundai,Genesis Coupe,2.0T,Genesis Coupe,automatic,kmhht6kd4cu078688,fl,38,38994,silver,black,hyundai motor finance,14400,14600,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,SV,SUV,automatic,jn8as5mv1dw115313,pa,45,35922,black,black,nissan-infiniti lt,14900,14900,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6arxdm354608,nj,42,18965,gray,black,nissan infiniti lt,21700,22200,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2015,Ford,Explorer,Limited,SUV,automatic,1fm5k8f81fga20524,mo,43,15038,black,black,ars/enterprise,32800,33800,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2011,Chevrolet,Cruze,LS,sedan,automatic,1g1pc5sh1b7286868,il,19,48503,silver,gray,chrysler capital,8200,3500,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f85egb64330,tx,48,32200,red,black,ars/avis budget group,25900,26000,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe4cm201565,ca,44,19822,blue,gray,nissan infiniti lt,28400,27500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2012,Ford,Escape,Limited,suv,automatic,1fmcu9e7xckc34503,ny,48,24532,black,tan,ford motor credit company llc,19050,19200,Wed Jun 03 2015 02:20:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae8du644190,fl,37,23133,gray,gray,meridian remarketing,13900,13100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2012,Ford,Explorer,Limited,SUV,automatic,1fmhk8f88cga35045,va,42,116059,silver,beige,enterprise fleet management exchange  inc.,21800,21900,Thu Feb 19 2015 01:20:00 GMT-0800 (PST)
2005,Ford,Explorer,Limited,SUV,automatic,1fmdu75e95ub79153,ca,35,105606,silver,black,fiesta ford lincoln mercury,4550,8700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm930248,ca,49,41746,white,black,infiniti of montclair,19000,18900,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mnxdc331637,tx,33,42753,gray,beige,avis corporation,27700,27000,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2014,Infiniti,QX80,Base,SUV,automatic,jn8az2nd9e9750487,tn,44,31337,black,black,nissan north america inc.,54400,57600,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2012,Chevrolet,Equinox,LT,SUV,automatic,2gnflnek7c6352455,tn,21,100183,—,black,remarketing by ge/premier motors leasing inc,10950,10200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2012,Subaru,Forester,2.5X Limited PZEV,SUV,automatic,jf2shafcxch428870,fl,36,36240,silver,black,jpmorgan chase bank n.a.,20200,20400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2007,Buick,Rendezvous,CXL,suv,automatic,3g5da03l97s529994,ga,28,143056,silver,gray,capital one auto finance,2850,4500,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
2005,Hyundai,Sonata,GL,Sedan,automatic,kmhwf25s55a121313,ma,26,74083,silver,black,clay chevrolet hyundai,2950,1600,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2006,Dodge,Durango,SXT,SUV,automatic,1d4hd38k56f192281,tx,19,180488,gray,gray,credit acceptance corp/vrs/southfield,1750,2400,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2008,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u583338456,fl,25,208231,gray,black,autonation chevrolet greenacres,2900,2900,Tue May 26 2015 10:30:00 GMT-0700 (PDT)
2007,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwpg71k67m029087,ca,33,102302,gray,gray,billion dodge chrysler jeep,4150,5200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1bc856909,nj,46,11589,white,black,nissan-infiniti lt,18650,20200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2004,Ford,Explorer,XLS Sport,suv,automatic,1fmzu62k44ub71096,nc,35,147697,blue,gray,crossroads nissan of wake forest,2100,1700,Mon Jun 15 2015 02:00:00 GMT-0700 (PDT)
2012,Nissan,Armada,SL,SUV,automatic,5n1ba0nd6cn601756,ga,44,22147,red,beige,young motors llc,27200,26400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,supercrew,automatic,1ftfw1cfxbkd98369,tx,42,31383,white,gray,ge fleet services for itself/servicer,22700,20250,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
